symbol,timeframe,test_period,market_condition,signal_threshold,atr_stop_mult,atr_profit_mult,position_size,leverage,total_trades,win_rate,total_return_pct,cagr,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,alpha,beta
BTC/USD,1h,Mid_Month,High Volatility,75,2.0,4.0,0.25,2.0,5,0.0,-0.012467244017838493,-0.48035641676819363,0.012467244017838493,-16.21366538818173,-25.237689136008214,0.0,-0.04527930334193277,0.016052394399741213
BTC/USD,1h,Mid_Month,High Volatility,75,2.5,3.0,0.25,1.0,5,0.0,-0.012843195285520779,-0.4905788276181081,0.012843195285520779,-15.832899426563475,-22.3492102622672,0.0,-0.04565525460961506,0.01680635918389144
BTC/USD,1h,Mid_Month,High Volatility,75,2.5,3.0,0.25,2.0,5,0.0,-0.012843195285520779,-0.4905788276181081,0.012843195285520779,-15.832899426563475,-22.3492102622672,0.0,-0.04565525460961506,0.01680635918389144
BTC/USD,1h,Mid_Month,High Volatility,75,2.5,4.0,0.25,1.0,5,0.0,-0.012843195285520779,-0.4905788276181081,0.012843195285520779,-15.832899426563475,-22.3492102622672,0.0,-0.04565525460961506,0.01680635918389144
BTC/USD,1h,Mid_Month,High Volatility,75,2.5,4.0,0.25,2.0,5,0.0,-0.012843195285520779,-0.4905788276181081,0.012843195285520779,-15.832899426563475,-22.3492102622672,0.0,-0.04565525460961506,0.01680635918389144
BTC/USD,1h,Mid_Month,High Volatility,90,1.5,3.0,0.25,1.0,3,0.0,-0.008279748171096436,-0.3519736347533392,0.008279748171096436,-13.60621169656842,-39.500825176306506,0.0,-0.041091807495190716,-0.0007091617450389004
BTC/USD,1h,Mid_Month,High Volatility,90,1.5,3.0,0.25,2.0,3,0.0,-0.008279748171096436,-0.3519736347533392,0.008279748171096436,-13.60621169656842,-39.500825176306506,0.0,-0.041091807495190716,-0.0007091617450389004
BTC/USD,1h,Mid_Month,High Volatility,90,1.5,4.0,0.25,1.0,3,0.0,-0.008279748171096436,-0.3519736347533392,0.008279748171096436,-13.60621169656842,-39.500825176306506,0.0,-0.041091807495190716,-0.0007091617450389004
BTC/USD,1h,Mid_Month,High Volatility,90,1.5,4.0,0.25,2.0,3,0.0,-0.008279748171096436,-0.3519736347533392,0.008279748171096436,-13.60621169656842,-39.500825176306506,0.0,-0.041091807495190716,-0.0007091617450389004
BTC/USD,1h,Mid_Month,High Volatility,90,2.0,3.0,0.25,1.0,3,0.0,-0.008896993273435327,-0.3726871293823525,0.008896993273435327,-13.291772588172647,-25.433108804864318,0.0,-0.041709052597529606,0.0005242551039101256
BTC/USD,1h,Mid_Month,High Volatility,90,2.0,3.0,0.25,2.0,3,0.0,-0.008896993273435327,-0.3726871293823525,0.008896993273435327,-13.291772588172647,-25.433108804864318,0.0,-0.041709052597529606,0.0005242551039101256
BTC/USD,1h,Mid_Month,High Volatility,90,2.0,4.0,0.25,1.0,3,0.0,-0.008896993273435327,-0.3726871293823525,0.008896993273435327,-13.291772588172647,-25.433108804864318,0.0,-0.041709052597529606,0.0005242551039101256
BTC/USD,1h,Mid_Month,High Volatility,90,2.0,4.0,0.25,2.0,3,0.0,-0.008896993273435327,-0.3726871293823525,0.008896993273435327,-13.291772588172647,-25.433108804864318,0.0,-0.041709052597529606,0.0005242551039101256
BTC/USD,1h,Mid_Month,High Volatility,90,2.5,3.0,0.25,1.0,3,0.0,-0.009274303726709149,-0.38502760678227943,0.009274303726709149,-13.066174278591856,-21.147860311688433,0.0,-0.042086363050803426,0.0012782198880601284
BTC/USD,1h,Mid_Month,High Volatility,90,2.5,3.0,0.25,2.0,3,0.0,-0.009274303726709149,-0.38502760678227943,0.009274303726709149,-13.066174278591856,-21.147860311688433,0.0,-0.042086363050803426,0.0012782198880601284
BTC/USD,1h,Mid_Month,High Volatility,90,2.5,4.0,0.25,1.0,3,0.0,-0.009274303726709149,-0.38502760678227943,0.009274303726709149,-13.066174278591856,-21.147860311688433,0.0,-0.042086363050803426,0.0012782198880601284
BTC/USD,1h,Mid_Month,High Volatility,90,2.5,4.0,0.25,2.0,3,0.0,-0.009274303726709149,-0.38502760678227943,0.009274303726709149,-13.066174278591856,-21.147860311688433,0.0,-0.042086363050803426,0.0012782198880601284
